task,time
start v1 0,1579037906.7242625
click,1579037911.926095
click,1579037914.4411182
click,1579037916.7687745
click,1579037919.0494084
click,1579037920.877102
click,1579037922.470556
click,1579037923.8920968
click,1579037926.215379
click,1579037929.5894358
click,1579037932.0261152
stop v1 0,1579037934.3067455
start v2 0,1579037964.3279243
click,1579037969.520157
click,1579037970.1919544
click,1579037970.8011863
click,1579037971.3947945
click,1579037972.0040262
click,1579037972.5976562
click,1579037973.1912484
click,1579037973.784871
click,1579037974.362863
click,1579037974.9720778
click,1579037975.5813239
click,1579037976.2060852
click,1579037976.8310153
click,1579037977.4246411
click,1579037978.0182335
click,1579037978.62739
click,1579037979.2054608
click,1579037979.8146946
click,1579037980.4238431
click,1579037981.033151
click,1579037981.6267858
click,1579037982.2047603
click,1579037982.7671251
click,1579037983.3762994
click,1579037983.9855373
click,1579037984.6104562
click,1579037985.2040596
click,1579037985.7809165
click,1579037986.3849988
click,1579037986.978604
click,1579037987.6033814
click,1579037988.165793
click,1579037988.7281888
click,1579037989.3061843
stop v2 0,1579037990.7432668
start v1 1,1579038020.7675195
click,1579038025.938104
click,1579038028.3906522
click,1579038030.2183547
click,1579038032.7177598
click,1579038035.2327907
click,1579038037.317667
click,1579038039.805668
click,1579038042.1765263
click,1579038043.919563
click,1579038046.5066228
stop v1 1,1579038049.1622424
start v2 1,1579038079.1865053
click,1579038084.3883274
click,1579038085.0288808
click,1579038085.6224873
click,1579038086.23173
click,1579038086.8253345
click,1579038087.4345663
click,1579038088.0437958
click,1579038088.6061654
click,1579038089.1997678
click,1579038089.9651487
click,1579038090.590639
click,1579038091.2149174
click,1579038091.80855
click,1579038092.370904
click,1579038092.9800606
click,1579038093.5737503
click,1579038094.1673675
click,1579038094.7766013
click,1579038095.3545718
click,1579038095.9481802
click,1579038096.5574386
click,1579038097.166572
click,1579038097.8227441
click,1579038098.4163735
click,1579038099.0099623
click,1579038099.603571
click,1579038100.1971848
click,1579038100.8220377
click,1579038101.4156592
click,1579038102.009266
click,1579038102.6028726
click,1579038103.1808586
click,1579038103.7431846
click,1579038104.3212314
stop v2 1,1579038105.7824535
start v1 2,1579038135.7955642
click,1579038140.9973588
click,1579038143.1218596
click,1579038144.777798
click,1579038147.1210058
click,1579038148.9954932
click,1579038150.667032
click,1579038153.10396
click,1579038155.4784174
click,1579038158.0403097
click,1579038160.196039
stop v1 2,1579038164.1325395
start v2 2,1579038194.1373456
click,1579038199.3235579
click,1579038199.979719
click,1579038200.573328
click,1579038201.1669412
click,1579038201.776173
click,1579038202.369786
click,1579038202.96339
click,1579038203.525704
click,1579038204.0880764
click,1579038204.6817431
click,1579038205.275274
click,1579038205.9001257
click,1579038206.5249815
click,1579038207.1342227
click,1579038207.7435188
click,1579038208.3371263
click,1579038208.9307454
click,1579038209.5243285
click,1579038210.1179667
click,1579038210.7584097
click,1579038211.3520448
click,1579038211.9144185
click,1579038212.5080216
click,1579038213.0703902
click,1579038213.6327572
click,1579038214.2731602
click,1579038214.898035
click,1579038215.5228972
click,1579038216.1165466
click,1579038216.7101605
click,1579038217.2881072
click,1579038217.8817723
click,1579038218.4753635
click,1579038219.0689807
stop v2 2,1579038220.4904733
start v1 3,1579038250.4952872
click,1579038255.6658702
click,1579038257.7435777
click,1579038259.8837225
click,1579038262.773653
click,1579038264.429455
click,1579038267.2256455
click,1579038269.14715
click,1579038270.9591434
click,1579038273.896046
click,1579038275.895481
stop v1 3,1579038278.926045
start v2 3,1579038308.946422
click,1579038314.1169891
click,1579038314.773128
click,1579038315.3823893
click,1579038315.9916239
click,1579038316.585234
click,1579038317.163148
click,1579038317.7568314
click,1579038318.3504512
click,1579038318.928441
click,1579038319.5220475
click,1579038320.1000397
click,1579038320.6935668
click,1579038321.3184922
click,1579038321.9277453
click,1579038322.5528972
click,1579038323.1930513
click,1579038323.8022106
click,1579038324.3802726
click,1579038324.9895031
click,1579038325.645599
click,1579038326.2235878
click,1579038326.8172152
click,1579038327.379573
click,1579038327.9419339
click,1579038328.5199306
click,1579038329.1135437
click,1579038329.707072
click,1579038330.2851374
click,1579038330.9256294
click,1579038331.5347645
click,1579038332.128456
click,1579038332.7376895
click,1579038333.3313057
click,1579038333.9404547
stop v2 3,1579038335.3620927
